Provider,Model,Prompt Tokens,Generation Tokens,Stream,Temperature,Logprobs,Concurrency,Prompt Cache Max Len,Time To First Token,Latency Per Token,Num Tokens,Total Latency,Num Requests,Qps,P50 Time To First Token,P90 Time To First Token,P95 Time To First Token,P99 Time To First Token,P99.9 Time To First Token,P50 Total Latency,P90 Total Latency,P95 Total Latency,P99 Total Latency,P99.9 Total Latency,Throughput Per User (out tok/s),Throughput Aggregate (out tok/s)
openai,gemma4,100.0,200,True,0.0,,1,0,86.12116295043961,9.372269124001768,199.05,1951.0038943504696,20,0.5058685026215544,22,24,1300,1300,1300,1900,1900,3400,3400,3400,100.69,100.69
openai,gemma4,1000.0,200,True,0.0,,1,0,68.7248696000097,9.691812083432518,197.25,1979.903191250014,20,0.5047873060321002,68,75,76,76,76,2000,2000,2000,2000,2000,99.57,99.57
openai,gemma4,10000.0,200,True,0.0,,1,0,841.9329775000127,11.396678444014208,200.66666666666666,3127.5930968334555,12,0.3187210521014222,840,850,850,850,850,3100,3100,3100,3100,3100,63.96,63.96
openai,gemma4,100.0,200,True,0.0,,1,0,23.96941564966255,9.341483891192356,198.7,1878.7054444497699,20,0.5227058380334141,23,27,35,35,35,1900,1900,1900,1900,1900,103.86,103.86
openai,gemma4,1000.0,200,True,0.0,,1,0,67.39008594977349,9.267375124891092,198.75,1908.7158418004037,20,0.511624263440709,67,68,76,76,76,1900,1900,2200,2200,2200,101.69,101.69
openai,gemma4,10000.0,200,True,0.0,,1,0,842.4043579224627,11.104043107690817,198.23076923076923,3042.8842548462853,13,0.32706908252038913,840,850,850,850,850,3000,3000,3000,3000,3000,64.84,64.84
openai,gemma4,100.0,200,True,0.0,,2,0,31.27937099972249,9.046649029419829,198.8095238095238,1828.8783976665097,42,1.074032337267998,31,32,32,38,38,1800,1800,1800,1800,1800,106.76,213.53
openai,gemma4,1000.0,200,True,0.0,,2,0,97.89889584164102,9.526658239574125,198.47368421052633,1987.3266873419198,38,0.9823050363021355,82,120,120,120,120,2000,2000,2000,2000,2000,97.48,194.96
openai,gemma4,10000.0,200,True,0.0,,2,0,1241.4079481002773,13.21949363873407,197.3,3849.015706699538,20,0.5086031647508598,1500,1600,1700,1700,1700,3900,3900,3900,3900,3900,50.17,100.35
openai,gemma4,100.0,200,True,0.0,,4,0,31.965746438888857,9.301338136894929,197.9268292682927,1872.2404943292952,82,2.07590892022776,32,33,33,37,37,1900,1900,1900,1900,1900,102.72,410.88
openai,gemma4,1000.0,200,True,0.0,,4,0,87.35706581950984,10.351423209934254,198.43055555555554,2140.1705676251167,72,1.8424012025791918,76,120,120,120,120,2100,2100,2100,2100,2100,91.4,365.59
openai,gemma4,10000.0,200,True,0.0,,4,0,1843.426007370403,19.019775051406548,198.37037037037038,5618.07984040745,27,0.6838281125721778,1700,2500,2500,2900,2900,5600,5600,5600,6100,6100,33.91,135.65
openai,gemma4,99.37179487179488,200,True,0.0,,8,0,34.10238976928854,9.639678026534739,199.06410256410257,1952.0000476153516,156,3.92998490450862,33,37,38,51,56,2000,2000,2000,2000,2000,97.79,782.32
openai,gemma4,1000.0,200,True,0.0,,8,0,191.90692176662196,11.48995775058524,198.58333333333334,2472.4350069083503,120,3.150929751767327,180,270,280,280,280,2500,2500,2500,2500,2500,78.22,625.72
openai,gemma4,10000.0,200,True,0.0,,8,0,2789.995183562496,32.73224003114947,197.75,9259.556446375202,32,0.8065064431353338,3300,4000,5100,5800,5800,9000,9800,11000,12000,12000,19.94,159.49
openai,gemma4,99.9375,200,True,0.0,,16,0,127.05205649302167,10.144161286629892,198.44791666666666,2139.0437550765,288,7.360510992557013,110,120,330,890,1100,2100,2100,2300,2900,3200,91.29,1460.68
openai,gemma4,999.875,200,True,0.0,,16,0,204.56628808866148,15.01881584485386,198.99479166666666,3191.868412125074,192,4.887456376549822,190,330,330,330,330,3200,3200,3200,3200,3200,60.79,972.58
openai,gemma4,9999.793103448275,200,True,0.0,,16,0,4922.028310654774,65.08659812994988,197.75862068965517,17791.880693241124,29,0.7413379826624349,3300,11000,12000,12000,12000,16000,23000,24000,25000,25000,9.16,146.61
openai,gemma4,99.875,200,True,0.0,,32,0,133.6262855123929,12.047571633840034,198.36458333333334,2522.196148854064,480,12.450452029930199,140,160,180,430,650,2500,2600,2600,2900,3100,77.18,2469.73
openai,gemma4,999.75,200,True,0.0,,32,0,603.2015350273952,20.956259310819735,199.046875,4771.97981338287,256,6.5333162939496185,480,960,960,960,980,4800,4800,4800,4800,4800,40.64,1300.44
openai,gemma4,9999.75,200,True,0.0,,32,0,5265.775952166223,151.29243798165913,196.83333333333334,35021.612906083035,12,0.30265158848457374,5700,8700,9600,9600,9600,35000,38000,39000,39000,39000,1.86,59.57
openai,gemma4,99.8125,200,True,0.0,,64,0,314.700428039666,12.769739521680313,198.4627403846154,2847.8758950612614,832,22.10099003309365,310,370,760,1100,1100,2800,2900,3200,3600,3800,68.53,4386.22
openai,gemma4,999.796875,200,True,0.0,,64,0,1403.9805384000492,29.30778697543348,198.3875,7216.677800687545,320,8.55548530756974,1600,2000,2100,2300,2400,7200,7200,7300,7600,7600,26.52,1697.3
